,CO1 Comdty,CO2 Comdty,CO3 Comdty,CO4 Comdty,PVMMDS12 Index,PVMMDS23 Index,PVMMD2M3 Index,PVMMD3M4 Index,PVMMDBSP Index,DKI1 Comdty,DKI2 Comdty,DKI3 Comdty,DKI4 Comdty,QSA1 Comdty,QSA2 Comdty,QSA3 Comdty,QSA4 Comdty,QS1 Comdty,QS2 Comdty,QS3 Comdty,QS4 Comdty,PVMPGEW1 Index,PVMPGDM1 Index,PVMPGDM2 Index,PVMPGDM3 Index,PVMPGDM4 Index,PVMPSO1M Index,PVMPSO2M Index,PVMPSO3M Index,PVMPSO4M Index,CUCNST Index,CUAPST Index,SKOVCRST Index,DARATOTL Index,DOESCRLS Index,DOEASCRD Index,DOESCRUD Index,DOESCROK Index,JPIVCRUD Index,CNIGCRST Index,DSCNST Index,RUSDDWI Index,DOESDL15 Index,SKOVDIST Index,CHCM159 Index,DSS4ST Index,EUO6CS27 Index,ESTAGEEU Index,EUO6CH27 Index,CHCM156 Index,PLJI1067 Index,PLJI1023 Index,ICCBBOIN Index,ICFUBOIN Index,ICFUBMTL Index,ICCBBMTL Index,ICCBBNRS Index,ICFUBMTD Index,ICCBBMTS Index,ICCBBNRN Index,ICFUBPTL Index,ICCBBPTL Index,ICCBBPTS Index,ICFUBSTL Index,ICCBBMTD Index,ICCBBNRL Index,ICCBBOTD Index,ICCBBOTL Index,ICCBBOTS Index,ICCBBSTD Index,ICCBBSTL Index,ICCBBSTS Index,ICCBBTTR Index,ICFUBMTS Index,ICFUBNRL Index,ICFUBNRN Index,ICFUBNRS Index,ICCBAMMN Index,ICFUAMMN Index,ICFUAMML Index,ICCBAMML Index,ICFUAPML Index,ICCBAORN Index,ICFUAMMS Index,ICCBAMMS Index,ICFUASWL Index,ICCBAOIN Index,ICFUAOIN Index,ICFUAPMN Index,ICFUAORN Index,ICFUASWN Index,ICFUASWD Index,ICCBANRN Index,ICCBAORL Index,ICFUAPMS Index,ICFUASWS Index,ICCBAPMN Index,ICCBASWN Index,ICFUAMMD Index,ICCBANRL Index,ICCBAORS Index,ICCBAPMS Index,CFCDQMMN Index,CFCDQMMS Index,CFCDQMML Index,CFCDQSWN Index,CFCDQPMN Index,CFCDPMMN Index,CFCDQPMS Index,CFCDQORN Index,CFCDQSWS Index,CFCDPSWN Index,CFCDQMMD Index,CFCDQPML Index,CFCDQORL Index,CFCDPMMS Index,CFCDPPMS Index,CFCDPMML Index,CFCDQSWL Index,CFCDPPMN Index,CFCDQMTL Index,CFCDQORS Index,CFCDPORL Index,CFCDPORS Index,CFCDQPTS Index,CFCDQSWD Index,CFCDPMMD Index,OISTCRDE Index,GBPUSD Curncy,EURUSD Curncy,JPYUSD Curncy
2018-02-01,66.57,66.13,65.79,65.51,0.25,0.25,0.25,0.25,3.08,64.01,63.63,63.4,63.19,,,,,597,598.5,596.75,592.5,-11.5,15.25,15.27,15.28,15.28,77.73,77.52,77.29,77.04,26.12,,,51387.879,,-7419,424463,48973,,,6.11,,121590,,,,,,,,,,2846075,2337981,105,103,44746,64,34,6825,105,108,145,49,69,51571,62,27,49,61,48,26,452,30,47873,6575,41298,184414,183732,195873,196555,274335,-127498,12141,12141,177410,902051,888702,-208077,-126473,141497,41131,9453,14144,482412,35913,-208556,142187,91044,33277,141642,487063,396381,39734,436115,-664446,-26603,58949,551178,274467,825510,-124383,568052,524575,329704,14656,173854,73605,161064,64281,81,55237,36753,39940,70,388157,47687,2480,1.359,1.2059,0.008906
2018-03-01,67.84,67.29,66.9,66.57,0.26,0.26,0.26,0.26,3.36,65.24,64.82,64.52,64.22,,,,,606.75,607.75,606.25,601.75,-9,15.61,15.57,15.51,15.41,79.24,78.96,78.61,78.26,26.12,,,51387.879,,-7419,424463,48973,,,6.11,,121590,,,,,,,,,,2846075,2337981,105,103,44746,64,34,6825,105,108,145,49,69,51571,62,27,49,61,48,26,452,30,47873,6575,41298,184414,183732,195873,196555,274335,-127498,12141,12141,177410,902051,888702,-208077,-126473,141497,41131,9453,14144,482412,35913,-208556,142187,91044,33277,141642,487063,396381,39734,436115,-664446,-26603,58949,551178,274467,825510,-124383,568052,524575,329704,14656,173854,73605,161064,64281,81,55237,36753,39940,70,388157,47687,2526,1.3516,1.2015,0.008888
2018-04-01,68.07,67.51,67.11,66.77,0.29,0.29,0.29,0.29,3.34,65.3,64.98,64.7,64.41,,,,,608,609,607.75,602.75,-9.25,15.77,15.72,15.62,15.51,79.34,79.1,78.75,78.35,26.12,,,51387.879,,-7419,424463,48973,,,6.11,,121590,,,,,,,,,,2846075,2337981,105,103,44746,64,34,6825,105,108,145,49,69,51571,62,27,49,61,48,26,452,30,47873,6575,41298,184414,183732,195873,196555,274335,-127498,12141,12141,177410,902051,888702,-208077,-126473,141497,41131,9453,14144,482412,35913,-208556,142187,91044,33277,141642,487063,396381,39734,436115,-664446,-26603,58949,551178,274467,825510,-124383,568052,524575,329704,14656,173854,73605,161064,64281,81,55237,36753,39940,70,388157,47687,2539,1.3551,1.2068,0.008869
2018-05-01,67.62,67.1,66.73,66.41,0.28,0.26,0.28,0.26,3.29,64.93,64.58,64.33,64.06,,,,,604,605,604.25,600.25,-8,15.65,15.58,15.48,15.37,78.95,78.73,78.46,78.06,26.12,,,51511.004,,-4948,419515,46578,,,6.11,,126815,,,,,,,,,,2846075,2337981,105,103,44746,64,34,6825,105,108,145,49,69,51571,62,27,49,61,48,26,452,30,47873,6575,41298,184414,183732,195873,196555,274335,-127498,12141,12141,177410,902051,888702,-208077,-126473,141497,41131,9453,14144,482412,35913,-208556,142187,91044,33277,141642,487063,396381,39734,436115,-664446,-26603,58949,551178,274467,825510,-124383,568052,524575,329704,14656,173854,73605,161064,64281,81,55237,36753,39940,70,388157,47687,2539,1.3571,1.2029,0.008844
2018-08-01,67.78,67.31,66.95,66.64,0.26,0.24,0.26,0.24,3.24,65.09,64.8,64.54,64.29,,,,,601,602.25,602,598.75,-7.5,15.68,15.62,15.52,15.37,78.79,78.58,78.32,77.95,26.12,,,51511.004,,-4948,419515,46578,,,6.11,,126815,,,,,,,,,,2846075,2337981,105,103,44746,64,34,6825,105,108,145,49,69,51571,62,27,49,61,48,26,452,30,47873,6575,41298,184414,183732,195873,196555,274335,-127498,12141,12141,177410,902051,888702,-208077,-126473,141497,41131,9453,14144,482412,35913,-208556,142187,91044,33277,141642,487063,396381,39734,436115,-664446,-26603,58949,551178,274467,825510,-124383,568052,524575,329704,14656,173854,73605,161064,64281,81,55237,36753,39940,70,388157,47687,2538,1.3568,1.1967,0.008842
2018-09-01,68.82,68.34,67.96,67.61,0.22,0.22,0.22,0.22,3.38,65.81,65.71,65.48,65.22,,,,,605.25,606.5,606,603.25,-7.5,15.23,15.24,15.22,15.16,79.18,79.08,78.86,78.54,26.12,,,51511.004,,-4948,419515,46578,,,6.11,,126815,,,,,,,,,,2973215,2411211,100,101,47143,64,32,9414,113,116,149,44,68,56557,65,28,50,63,46,26,454,31,52344,9482,42862,181971,181971,195445,195445,290520,-130206,13474,13474,175593,907469,893689,-194352,-129275,130676,39893,11023,12424,484872,44917,-194779,131992,83663,33947,142630,489928,437770,35333,473103,-704870,-8936,63364,558563,268290,863568,-135076,595102,549627,330842,13377,198441,76741,158698,42739,85,62552,54082,31183,71,410120,49034,2545,1.354,1.1937,0.008877
2018-10-01,69.2,68.73,68.35,67.99,0.23,0.24,0.23,0.24,3.48,66,66.01,65.8,65.57,,,,,612,613,612.5,609.5,-7.75,15.35,15.36,15.34,15.27,79.97,79.87,79.67,79.33,26.12,,,51511.004,,-4948,419515,46578,,,6.11,,126815,,,,,,,,,,2973215,2411211,100,101,47143,64,32,9414,113,116,149,44,68,56557,65,28,50,63,46,26,454,31,52344,9482,42862,181971,181971,195445,195445,290520,-130206,13474,13474,175593,907469,893689,-194352,-129275,130676,39893,11023,12424,484872,44917,-194779,131992,83663,33947,142630,489928,437770,35333,473103,-704870,-8936,63364,558563,268290,863568,-135076,595102,549627,330842,13377,198441,76741,158698,42739,85,62552,54082,31183,71,410120,49034,2569,1.3507,1.1948,0.008974
2018-11-01,69.26,68.77,68.37,68.01,0.26,0.26,0.26,0.26,3.66,66.06,65.98,65.72,65.45,,,,,612,618,617.75,614.75,-7.25,15.65,15.68,15.6,15.46,80.64,80.5,80.21,79.81,26.12,,,51511.004,,-4948,419515,46578,,,6.11,,126815,,,,,,,,,,2973215,2411211,100,101,47143,64,32,9414,113,116,149,44,68,56557,65,28,50,63,46,26,454,31,52344,9482,42862,181971,181971,195445,195445,290520,-130206,13474,13474,175593,907469,893689,-194352,-129275,130676,39893,11023,12424,484872,44917,-194779,131992,83663,33947,142630,489928,437770,35333,473103,-704870,-8936,63364,558563,268290,863568,-135076,595102,549627,330842,13377,198441,76741,158698,42739,85,62552,54082,31183,71,410120,49034,2595,1.3538000000000001,1.2032,0.008987
2018-12-01,69.87,69.38,68.98,68.61,0.26,0.25,0.26,0.25,3.64,66.36,66.5,66.24,65.97,,,,,612.75,612.5,609.5,605.5,-6.25,15.77,15.77,15.69,15.57,80.09,79.94,79.65,79.27,26.12,,,52121.617,,-6861,412654,42394,,,6.11,,123695,,,,,,,,,,2973215,2411211,100,101,47143,64,32,9414,113,116,149,44,68,56557,65,28,50,63,46,26,454,31,52344,9482,42862,181971,181971,195445,195445,290520,-130206,13474,13474,175593,907469,893689,-194352,-129275,130676,39893,11023,12424,484872,44917,-194779,131992,83663,33947,142630,489928,437770,35333,473103,-704870,-8936,63364,558563,268290,863568,-135076,595102,549627,330842,13377,198441,76741,158698,42739,85,62552,54082,31183,71,410120,49034,2640,1.3728,1.2202,0.009006
2018-01-15,70.26,69.83,69.48,69.17,0.26,0.24,0.25,0.24,3.57,66.36,66.5,66.24,65.97,,,,,618.75,618.75,616.25,612.5,-6.25,15.49,15.51,15.44,15.34,81.06,80.91,80.63,80.31,26.12,,,52121.617,,-6861,412654,42394,,,6.11,,123695,,,,,,,,,,2973215,2411211,100,101,47143,64,32,9414,113,116,149,44,68,56557,65,28,50,63,46,26,454,31,52344,9482,42862,181971,181971,195445,195445,290520,-130206,13474,13474,175593,907469,893689,-194352,-129275,130676,39893,11023,12424,484872,44917,-194779,131992,83663,33947,142630,489928,437770,35333,473103,-704870,-8936,63364,558563,268290,863568,-135076,595102,549627,330842,13377,198441,76741,158698,42739,85,62552,54082,31183,71,410120,49034,2641,1.3792,1.2264,0.009047
