Index Name,Date
CO1 Comdty,2/1/2018
CO2 Comdty,3/1/2018
CO3 Comdty,4/1/2018
CO4 Comdty,5/1/2018
PVMMDS12 Index,8/1/2018
PVMMDS23 Index,9/1/2018
PVMMD2M3 Index,10/1/2018
PVMMD3M4 Index,11/1/2018
PVMMDBSP Index,12/1/2018
DKI1 Comdty,15/1/2018
DKI2 Comdty,16/1/2018
DKI3 Comdty,17/1/2018
DKI4 Comdty,18/1/2018
QSA1 Comdty,19/1/2018
QSA2 Comdty,22/1/2018
QSA3 Comdty,23/1/2018
QSA4 Comdty,24/1/2018
QS1 Comdty,25/1/2018
QS2 Comdty,26/1/2018
QS3 Comdty,29/1/2018
QS4 Comdty,30/1/2018
PVMPGEW1 Index,31/1/2018
PVMPGDM1 Index,1/2/2018
PVMPGDM2 Index,2/2/2018
PVMPGDM3 Index,5/2/2018
PVMPGDM4 Index,6/2/2018
PVMPSO1M Index,7/2/2018
PVMPSO2M Index,8/2/2018
PVMPSO3M Index,9/2/2018
PVMPSO4M Index,12/2/2018
CUCNST Index,13/2/2018
CUAPST Index,14/2/2018
SKOVCRST Index,15/2/2018
DARATOTL Index,16/2/2018
DOESCRLS Index,19/2/2018
DOEASCRD Index,20/2/2018
DOESCRUD Index,21/2/2018
DOESCROK Index,22/2/2018
JPIVCRUD Index,23/2/2018
CNIGCRST Index,26/2/2018
DSCNST Index,27/2/2018
RUSDDWI Index,28/2/2018
DOESDL15 Index,1/3/2018
SKOVDIST Index,2/3/2018
CHCM159 Index,5/3/2018
DSS4ST Index,6/3/2018
EUO6CS27 Index,7/3/2018
ESTAGEEU Index,8/3/2018
EUO6CH27 Index,9/3/2018
CHCM156 Index,12/3/2018
PLJI1067 Index,13/3/2018
PLJI1023 Index,14/3/2018
ICCBBOIN Index,15/3/2018
ICFUBOIN Index,16/3/2018
ICFUBMTL Index,19/3/2018
ICCBBMTL Index,20/3/2018
ICCBBNRS Index,21/3/2018
ICFUBMTD Index,22/3/2018
ICCBBMTS Index,23/3/2018
ICCBBNRN Index,26/3/2018
ICFUBPTL Index,27/3/2018
ICCBBPTL Index,28/3/2018
ICCBBPTS Index,29/3/2018
ICFUBSTL Index,30/3/2018
ICCBBMTD Index,2/4/2018
ICCBBNRL Index,3/4/2018
ICCBBOTD Index,4/4/2018
ICCBBOTL Index,5/4/2018
ICCBBOTS Index,6/4/2018
ICCBBSTD Index,9/4/2018
ICCBBSTL Index,10/4/2018
ICCBBSTS Index,11/4/2018
ICCBBTTR Index,12/4/2018
ICFUBMTS Index,13/4/2018
ICFUBNRL Index,16/4/2018
ICFUBNRN Index,17/4/2018
ICFUBNRS Index,18/4/2018
ICCBAMMN Index,19/4/2018
ICFUAMMN Index,20/4/2018
ICFUAMML Index,23/4/2018
ICCBAMML Index,24/4/2018
ICFUAPML Index,25/4/2018
ICCBAORN Index,26/4/2018
ICFUAMMS Index,27/4/2018
ICCBAMMS Index,30/4/2018
ICFUASWL Index,1/5/2018
ICCBAOIN Index,2/5/2018
ICFUAOIN Index,3/5/2018
ICFUAPMN Index,4/5/2018
ICFUAORN Index,7/5/2018
ICFUASWN Index,8/5/2018
ICFUASWD Index,9/5/2018
ICCBANRN Index,10/5/2018
ICCBAORL Index,11/5/2018
ICFUAPMS Index,14/5/2018
ICFUASWS Index,15/5/2018
ICCBAPMN Index,16/5/2018
ICCBASWN Index,17/5/2018
ICFUAMMD Index,18/5/2018
ICCBANRL Index,21/5/2018
ICCBAORS Index,22/5/2018
ICCBAPMS Index,23/5/2018
CFCDQMMN Index,24/5/2018
CFCDQMMS Index,25/5/2018
CFCDQMML Index,28/5/2018
CFCDQSWN Index,29/5/2018
CFCDQPMN Index,30/5/2018
CFCDPMMN Index,31/5/2018
CFCDQPMS Index,1/6/2018
CFCDQORN Index,4/6/2018
CFCDQSWS Index,5/6/2018
CFCDPSWN Index,6/6/2018
CFCDQMMD Index,7/6/2018
CFCDQPML Index,8/6/2018
CFCDQORL Index,11/6/2018
CFCDPMMS Index,12/6/2018
CFCDPPMS Index,13/6/2018
CFCDPMML Index,14/6/2018
CFCDQSWL Index,15/6/2018
CFCDPPMN Index,18/6/2018
CFCDQMTL Index,19/6/2018
CFCDQORS Index,20/6/2018
CFCDPORL Index,21/6/2018
CFCDPORS Index,22/6/2018
CFCDQPTS Index,25/6/2018
CFCDQSWD Index,26/6/2018
CFCDPMMD Index,27/6/2018
OISTCRDE Index,28/6/2018
GBPUSD Curncy,29/6/2018
EURUSD Curncy,2/7/2018
JPYUSD Curncy,3/7/2018
,4/7/2018
,5/7/2018
,6/7/2018
,9/7/2018
,10/7/2018
,11/7/2018
,12/7/2018
,13/7/2018
,16/7/2018
,17/7/2018
,18/7/2018
,19/7/2018
,20/7/2018
,23/7/2018
,24/7/2018
,25/7/2018
,26/7/2018
,27/7/2018
,30/7/2018
,31/7/2018
,1/8/2018
,2/8/2018
,3/8/2018
,6/8/2018
,7/8/2018
,8/8/2018
,9/8/2018
,10/8/2018
,13/8/2018
,14/8/2018
,15/8/2018
,16/8/2018
,17/8/2018
,20/8/2018
,21/8/2018
,22/8/2018
,23/8/2018
,24/8/2018
,27/8/2018
,28/8/2018
,29/8/2018
,30/8/2018
,31/8/2018
,3/9/2018
,4/9/2018
,5/9/2018
,6/9/2018
,7/9/2018
,10/9/2018
,11/9/2018
,12/9/2018
,13/9/2018
,14/9/2018
,17/9/2018
,18/9/2018
,19/9/2018
,20/9/2018
,21/9/2018
,24/9/2018
,25/9/2018
,26/9/2018
,27/9/2018
,28/9/2018
,1/10/2018
,2/10/2018
,3/10/2018
,4/10/2018
,5/10/2018
,8/10/2018
,9/10/2018
,10/10/2018
,11/10/2018
,12/10/2018
,15/10/2018
,16/10/2018
,17/10/2018
,18/10/2018
,19/10/2018
,22/10/2018
,23/10/2018
,24/10/2018
,25/10/2018
,26/10/2018
,29/10/2018
,30/10/2018
,31/10/2018
,1/11/2018
,2/11/2018
,5/11/2018
,6/11/2018
,7/11/2018
,8/11/2018
,9/11/2018
,12/11/2018
,13/11/2018
,14/11/2018
,15/11/2018
,16/11/2018
,19/11/2018
,20/11/2018
,21/11/2018
,22/11/2018
,23/11/2018
,26/11/2018
,27/11/2018
,28/11/2018
,29/11/2018
,30/11/2018
,3/12/2018
,4/12/2018
,5/12/2018
,6/12/2018
,7/12/2018
,10/12/2018
,11/12/2018
,12/12/2018
,13/12/2018
,14/12/2018
,17/12/2018
,18/12/2018
,19/12/2018
,20/12/2018
,21/12/2018
,24/12/2018
,25/12/2018
,26/12/2018
,27/12/2018
,28/12/2018
,31/12/2018
,1/1/2019
,2/1/2019
,3/1/2019
,4/1/2019
,7/1/2019
,8/1/2019
,9/1/2019
,10/1/2019
,11/1/2019
,14/1/2019
,15/1/2019
,16/1/2019
,17/1/2019
,18/1/2019
,21/1/2019
,22/1/2019
,23/1/2019
,24/1/2019
,25/1/2019
,28/1/2019
,29/1/2019
,30/1/2019
,31/1/2019
,1/2/2019
,4/2/2019
,5/2/2019
,6/2/2019
,7/2/2019
,8/2/2019
,11/2/2019
,12/2/2019
,13/2/2019
,14/2/2019
,15/2/2019
,18/2/2019
,19/2/2019
,20/2/2019
,21/2/2019
,22/2/2019
,25/2/2019
,26/2/2019
,27/2/2019
,28/2/2019
,1/3/2019
,4/3/2019
,5/3/2019
,6/3/2019
,7/3/2019
,8/3/2019
,11/3/2019
,12/3/2019
,13/3/2019
,14/3/2019
,15/3/2019
,18/3/2019
,19/3/2019
,20/3/2019
,21/3/2019
,22/3/2019
,25/3/2019
,26/3/2019
,27/3/2019
,28/3/2019
,29/3/2019
,1/4/2019
,2/4/2019
,3/4/2019
,4/4/2019
,5/4/2019
,8/4/2019
,9/4/2019
,10/4/2019
,11/4/2019
,12/4/2019
,15/4/2019
,16/4/2019
,17/4/2019
,18/4/2019
,19/4/2019
,22/4/2019
,23/4/2019
,24/4/2019
,25/4/2019
,26/4/2019
,29/4/2019
,30/4/2019
,1/5/2019
,2/5/2019
,3/5/2019
,6/5/2019
,7/5/2019
,8/5/2019
,9/5/2019
,10/5/2019
,13/5/2019
,14/5/2019
,15/5/2019
,16/5/2019
,17/5/2019
,20/5/2019
,21/5/2019
,22/5/2019
,23/5/2019
,24/5/2019
,27/5/2019
,28/5/2019
,29/5/2019
,30/5/2019
,31/5/2019
,3/6/2019
,4/6/2019
,5/6/2019
,6/6/2019
,7/6/2019
,10/6/2019
,11/6/2019
,12/6/2019
,13/6/2019
,14/6/2019
,17/6/2019
,18/6/2019
,19/6/2019
,20/6/2019
,21/6/2019
,24/6/2019
,25/6/2019
